oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
20,-0.600550276301728,-0.6001450539257855,-0.5759507398590351,-0.5808075694802338,-0.5789166516631729,-0.5826640256383675,-0.6317254358593039,-0.6219509867993529,-0.17861438114205885,-0.23014203808734474,-0.21240847545027797,-0.29532227531747646,-0.6324150025,-0.6324150025,-0.6324150025003599,-0.23269496250139948,-0.6324150025
21,-0.09075202160667478,-0.09071454458954682,-0.0847946941106897,-0.08455163865264224,-0.0830519187704163,-0.08643776896023517,-0.08198250382410785,-0.08241604107436601,-0.058128131679668925,-0.056489357135816015,-0.0348804567546753,-0.07864881745484026,-0.0815062499999999,-0.0815062499999999,-0.08150624999987989,-0.08150624999987992,-0.0815062499999999
22,0.11676014594554361,0.2757929812394394,0.1863228586289841,0.2062206702252054,0.17960722420904543,0.20945358688491014,0.2783198957812144,0.47930785033236145,0.003938665620905767,0.04681167393638611,-0.00037445706305459857,0.06966367834576234,0.4894155693749999,0.4894155693749999,0.48941556937457964,0.10863615089013348,0.4894155693749999
23,0.03126801311417385,0.016997446691847166,0.021196528646114505,0.014512938262763345,0.019179693989645103,0.018981631894230164,0.07117931737274256,-0.0004629827993658693,0.015690534742458222,-0.007158592518812462,0.0063709756392570545,0.006615909105758568,0.07137505575333339,0.021375055753333348,0.027789497834074747,0.044577676133372865,0.021375055753333348
24,0.04579411541487184,0.046875966434875835,0.04190434752350296,0.04083234496450909,0.04154959471338503,0.04599690839323199,0.019514367988652803,0.026964834458787904,0.0033117700912288495,-0.0010999170670898395,0.0019833076610146216,0.022856249811729165,0.055491530379917955,0.25549153037991795,0.08816030690836422,0.013822369097143003,0.25549153037991795
25,0.017263590724492864,0.017263590724492864,0.017263590724492864,0.02702405382862566,0.017263590724492864,0.019266389191234315,0.03392516156744742,0.016464304447228663,0.0036533873547598197,0.015481589328460948,0.0005663268552796794,0.0005347124174550225,0.005596453822447714,0.034101137385170135,0.014435911250286608,0.01677330210410461,0.034101137385170135
26,-0.0057075806487497036,-0.0057075806487497036,-0.0057075806487497036,-0.007021476260358865,-0.007014774347931261,-0.002361575818606484,-0.012233276799284588,-0.009703374578442801,0.0013349638902141036,-0.001157649266521791,-0.0009717168159037188,0.0014599640660089147,0.07587738307981758,0.025877383079817653,-0.004944745869952222,0.03541599064203557,0.025877383079817653
27,-0.08438816364590135,-0.06534361988713885,-0.0880355468853416,-0.06534836938783756,-0.0881274340759853,-0.06528395589406344,-0.08494042580761904,-0.039326849157569704,-0.016015249218799266,-0.048189860790621486,-0.00884958305004152,-0.0018331557644256646,-0.03196828937616136,-0.03196828937616136,-0.09139619764841819,-0.002045332677438283,-0.03196828937616136
28,0.07497289868765872,0.07497289868765872,0.07497289868765872,0.07497289868765872,0.08787261828285997,0.0767080284329203,0.14312996391909938,-0.09755237769327096,0.02251688823021039,-0.011161218086018443,0.0028936900516081943,0.0009571062138212794,0.033824419561390595,0.033824419561390595,0.09686109369214624,0.05318203264268734,0.033824419561390595
29,0.006610070077873431,0.0062230321458072325,0.006610070077873431,0.004222421824948225,0.006610070077873431,0.0078829127526154,-0.002499999982849507,-0.0015837068299978192,-0.0005308377833682185,-0.0012996712464046249,-0.00021103873531212822,0.001598091178812777,0.007500000000000014,0.03749999999999998,0.011909682294107967,-0.0017856440041473824,0.007500000000000014
30,0.05866983142095461,0.03357686647384704,0.05866983142095461,0.026652828754420044,0.05902538352456699,0.043915190694870515,0.07416789185618736,-0.028145145265262135,0.012739788056328,0.014334932933375413,-0.0003040227105829546,0.0005691027938189291,0.07444375000000003,0.07444375000000003,0.07444374999976003,0.010008180650289605,-0.05665625000000003
31,0.010673947299600181,0.012858592508494048,0.029429917318333457,0.021630210704188496,-0.014822343600478079,-0.018891630528736977,0.05640316953660872,0.05465127916671117,0.02199238695637836,0.01025848620459139,0.0005021798960021251,-0.003091751967020707,0.05652029312915445,0.05652029312915445,-0.013811408691754356,-0.01485298286481328,0.05652029312915445
32,0.18140174254464458,0.11033861892236319,0.04019578022559722,0.023087837285538537,0.13246705771130485,0.01954323388506074,-0.138831954349936,-0.12195512154338584,-0.05788159160329687,-0.0716017830648703,0.0007667088235587816,-0.008325129948660193,0.23881267384584481,-0.27118732615415525,0.2345604788995448,0.023425861656475977,-0.27118732615415525
33,-0.005072940746402566,0.03814486670251292,-0.005072940746402566,0.03842894579031565,-0.005072940746402566,0.040765435306155076,0.01746007967516677,0.043310769931433055,0.004696060326254279,0.018814478297027957,0.0011018366965028815,0.0041520204745286345,0.017500000000000005,0.06750000000000005,-0.0092588760081797,-0.012499999999919954,0.06750000000000005
34,-0.04631525369854905,0.035398603952594754,-0.04631525369854905,0.13844549772462433,-0.04631525369854905,0.12115219591227,-0.12239953397245784,0.35816995424925346,-0.04120212469105389,0.10536395086983352,-0.006880579839270817,0.009851369401171373,-0.2523835626578107,0.36279953449197,-0.08293874707037119,-0.20546523298133879,0.36279953449197
35,0.006290498901624364,-0.0023517565342332514,-0.0023517565342332514,-0.0023517565342332514,-0.0023517565342332514,-0.0023517565342332514,0.03259209753170844,0.0012851505546296327,0.0030875175816238443,-0.013968029786896041,0.003958791538315465,-0.02365557142737451,0.03265118565863556,-0.17734881434136418,0.06404041189048781,0.03265118565709568,-0.17734881434136418
36,-0.2792507615041897,-0.2792507615041897,-0.2792507615041897,-0.2792507615041897,-0.2792507615041897,-0.2792507615041897,0.11819746899447159,0.11708663655380303,0.0350296909759682,0.013824107765903815,0.024091725523953222,-0.03898924801725734,0.1184366920054094,0.1184366920054094,-0.5997173659713162,-0.7515633079964112,0.1184366920054094
37,0.12100023591075493,0.12100023591075493,0.12100023591075493,0.12100023591075493,0.15550889162096393,0.12100023591075493,0.10089100180006039,0.10908002550797002,0.06733060076520436,0.013788783751816691,0.15223528292747002,0.0655776508863255,0.22674375000000024,0.22674375000000024,0.15728965114101534,0.226743749994879,0.22674375000000024
38,0.18373480231879086,0.18388526502144165,0.1562841177943416,0.24637861661327043,0.15064289052604202,0.3175136071758645,0.13131057926680412,0.13478540705480108,0.00331706566863188,0.0788586821144566,3.4027144036982704e-05,0.031167422398414524,-0.11371724841119123,0.5162827515888089,0.1947431400581307,0.1332694058289775,0.5162827515888089
39,-0.10222046641639072,-0.10222046641639072,-0.10222046641639072,-0.10222046641639072,-0.10222046641639072,-0.10222046641639072,0.7652539210181213,0.7814746054221462,0.21729695614151412,0.23765515553860306,0.16287151107228798,0.023510059411102457,0.7900705554923197,0.7900705554923197,-0.20992636677912413,0.3089019503110065,0.7900705554923197
40,-0.23648898987551892,-0.23648898987551892,-0.23648898987551892,-0.23648898987551892,-0.23648898987551892,-0.23648898987551892,-1.724302908917371,-1.672409225031065,-0.6899641898104338,-0.541665575752984,-0.6254861221749639,-0.1258868219608793,-1.7243419600000003,-1.7243419600000003,-1.066153929645166,-0.45644196000308046,1.9935580400000008
41,-2.7170010683097896,-2.2322964630343716,-2.524289797985924,-2.4459278132975477,-2.629516579976963,-2.2322964630343716,-3.316561240851586,-0.13091179014651466,-0.9912247882159715,-0.9644588983496067,-2.6908865977848624,0.40201199183776914,-3.3193699315864134,-0.2834989315864114,-3.319369931598411,3.7665010683903652,-3.3193699315864134
42,1.5691925187277462,1.8375975632296715,1.5691925187277462,1.8375975632296715,1.5691925187277462,1.8375975632296715,1.645699974029064,1.6457323499932102,0.980065461774366,0.7825377639409794,1.571021570643012,2.54461017987461,1.5691925187748765,1.5691925187748765,1.5691925187277462,1.5691925187277462,1.5691925187748765
43,0.3979193606746847,0.7599700446531017,1.4106565361277035,1.5659019178047089,-2.6301457849673042,1.565901917804723,1.1439461749606323,1.5661278115087924,0.2131064858747962,0.8988137262201761,-3.99990382994158,0.47387937842520245,1.565901917891118,1.565901917891118,-2.4516998362722333,-6.714098082180158,1.565901917891118
44,-4.777200325374167,-0.14066299579782537,-2.311497040744726,-0.14897407873510815,-1.0712098916804678,-0.1684777868286318,-4.242893470224217,1.914791551860901,-0.9474960441490623,0.9252919093559058,-0.5171279210398296,1.8629408685782067,-4.777200325263976,1.8627996747359958,-4.777200325374167,-4.777200325374167,-4.777200325263976
45,-0.45472894619810944,6.524191300907631,-0.45472894619810944,4.705380474006667,-1.4927823226499015,1.8117123363290162,-2.871910664667702,10.623358390772523,-0.6615456532342279,3.1917602688784825,-2.96877449364991,2.5991037531475314,-1.4927823225300187,10.98721767747,-1.4927823226499015,-1.4927823226499015,-1.4927823225300187
46,-4.177304894487033,-10.010386104494717,-6.456772503380275,-6.449587543827906,-4.177304894487033,-7.358991968141831,-12.302690359986581,-8.955512653608643,-4.650578376930115,-2.3287019696475735,-12.327645676266721,-7.875745755714085,-12.327645676271047,-7.068148142619268,-7.068148142651051,-7.068148142650619,-7.068148142619268
47,-1.994828016829036,0.3250830384750305,-0.34472809495890155,0.1000352476999451,-0.26079167063123254,-2.0006684122187943,-3.169344399146869,0.2520068105203057,-0.6260593416516049,0.30740994721210146,-0.9891009647197446,-3.1766071167955277,3.610899035280255,3.610899035280255,3.6108990352567343,1.2337491608221764,3.610899035280255
48,0.008944954136454648,0.4610948656392089,-0.01497388285219478,0.2717968645094326,0.012149272204627602,0.4805838760284252,0.29578449711945193,0.8899558685986103,0.04227482305548657,0.005479989203122763,0.31360417576530686,0.9487459567358185,0.31360419348898516,0.979093053767401,0.6920180987041514,0.17225335404552872,0.979093053767401
49,-0.10183475690272653,0.03843822706158584,-0.10183475690272653,-0.07675163533986262,-0.10183475690272653,-0.10333802523441221,-0.41689888040580475,0.38112141745322536,-0.24065254995177082,0.06536468388552241,-0.41585581243108377,0.050455492932695356,-0.41562500000000013,0.3543749999999998,0.3543750000008986,-0.4156250000006414,0.3543749999999998
