iteration,method
1,full_gcsr_eigenvector
1,full_gcsr_v2_eigenvector
1,full_gcsr_pagerank
1,full_gcsr_v2_pagerank
1,full_gcsr_softmax
1,full_gcsr_v2_softmax
1,graph_only_eigenvector
1,graph_only_v2_eigenvector
1,graph_only_pagerank
1,graph_only_v2_pagerank
1,graph_only_softmax
1,graph_only_v2_softmax
1,rs_selection
1,rs_selection_v2
1,bates_granger_mv
1,var_error
1,recent_best
1,equal
2,full_gcsr_eigenvector
2,full_gcsr_pagerank
2,full_gcsr_v2_pagerank
2,full_gcsr_softmax
2,full_gcsr_v2_softmax
2,graph_only_eigenvector
2,graph_only_v2_eigenvector
2,graph_only_pagerank
2,graph_only_v2_pagerank
2,graph_only_softmax
2,graph_only_v2_softmax
2,rs_selection
2,rs_selection_v2
2,bates_granger_mv
2,var_error
2,recent_best
2,equal
3,full_gcsr_eigenvector
3,full_gcsr_pagerank
3,full_gcsr_v2_pagerank
3,full_gcsr_softmax
3,full_gcsr_v2_softmax
3,graph_only_eigenvector
3,graph_only_v2_eigenvector
3,graph_only_pagerank
3,graph_only_v2_pagerank
3,graph_only_softmax
3,graph_only_v2_softmax
3,rs_selection
3,rs_selection_v2
3,bates_granger_mv
3,var_error
3,recent_best
4,full_gcsr_eigenvector
4,full_gcsr_pagerank
4,full_gcsr_v2_pagerank
4,full_gcsr_softmax
4,full_gcsr_v2_softmax
4,graph_only_eigenvector
4,graph_only_v2_eigenvector
4,graph_only_pagerank
4,graph_only_v2_pagerank
4,graph_only_softmax
4,graph_only_v2_softmax
4,rs_selection
4,rs_selection_v2
4,var_error
4,recent_best
5,full_gcsr_eigenvector
5,full_gcsr_pagerank
5,full_gcsr_v2_pagerank
5,full_gcsr_softmax
5,graph_only_eigenvector
5,graph_only_v2_eigenvector
5,graph_only_pagerank
5,graph_only_v2_pagerank
5,graph_only_softmax
5,graph_only_v2_softmax
5,rs_selection
5,rs_selection_v2
5,var_error
5,recent_best
6,full_gcsr_eigenvector
6,full_gcsr_pagerank
6,full_gcsr_v2_pagerank
6,full_gcsr_softmax
6,graph_only_eigenvector
6,graph_only_v2_eigenvector
6,graph_only_pagerank
6,graph_only_v2_pagerank
6,graph_only_softmax
6,rs_selection
6,rs_selection_v2
6,var_error
6,recent_best
7,full_gcsr_eigenvector
7,full_gcsr_pagerank
7,full_gcsr_softmax
7,graph_only_eigenvector
7,graph_only_v2_eigenvector
7,graph_only_pagerank
7,graph_only_v2_pagerank
7,graph_only_softmax
7,rs_selection
7,rs_selection_v2
7,var_error
7,recent_best
