oos_period,TARGET_PERIOD,period_dt,actual
20,2006-02-01,2006-02-01,9.2
21,2006-05-01,2006-05-01,8.9
22,2006-08-01,2006-08-01,8.6
23,2006-11-01,2006-11-01,8.3
24,2007-02-01,2007-02-01,7.9
25,2007-05-01,2007-05-01,7.6
26,2007-08-01,2007-08-01,7.5
27,2007-11-01,2007-11-01,7.3
28,2008-02-01,2008-02-01,7.1
29,2008-05-01,2008-05-01,7.2
30,2008-08-01,2008-08-01,7.3
31,2008-11-01,2008-11-01,7.7
32,2009-02-01,2009-02-01,8.7
33,2009-05-01,2009-05-01,9.2
34,2009-08-01,2009-08-01,9.6
35,2009-11-01,2009-11-01,9.8
36,2010-02-01,2010-02-01,10.1
37,2010-05-01,2010-05-01,10.2
38,2010-08-01,2010-08-01,10.0
39,2010-11-01,2010-11-01,10.0
40,2011-02-01,2011-02-01,9.9
41,2011-05-01,2011-05-01,9.9
42,2011-08-01,2011-08-01,10.1
43,2011-11-01,2011-11-01,10.4
44,2012-02-01,2012-02-01,10.7
45,2012-05-01,2012-05-01,11.0
46,2012-08-01,2012-08-01,11.1
47,2012-11-01,2012-11-01,11.5
48,2013-02-01,2013-02-01,11.7
49,2013-05-01,2013-05-01,11.7
50,2013-08-01,2013-08-01,11.5
51,2013-11-01,2013-11-01,11.5
52,2014-02-01,2014-02-01,11.4
53,2014-05-01,2014-05-01,11.1
54,2014-08-01,2014-08-01,10.8
55,2014-11-01,2014-11-01,10.9
56,2015-02-01,2015-02-01,10.6
57,2015-05-01,2015-05-01,10.3
58,2015-08-01,2015-08-01,10.0
59,2015-11-01,2015-11-01,9.8
60,2016-02-01,2016-02-01,9.6
61,2016-05-01,2016-05-01,9.4
62,2016-08-01,2016-08-01,9.1
63,2016-11-01,2016-11-01,9.0
64,2017-02-01,2017-02-01,8.6
65,2017-05-01,2017-05-01,8.4
66,2017-08-01,2017-08-01,8.2
67,2017-11-01,2017-11-01,7.9
68,2018-02-01,2018-02-01,7.7
69,2018-05-01,2018-05-01,7.4
70,2018-08-01,2018-08-01,7.2
71,2018-11-01,2018-11-01,7.1
72,2019-02-01,2019-02-01,7.0
73,2019-05-01,2019-05-01,6.8
74,2019-08-01,2019-08-01,6.7
75,2019-11-01,2019-11-01,6.7
76,2020-02-01,2020-02-01,6.6
77,2020-05-01,2020-05-01,7.0
78,2020-08-01,2020-08-01,7.8
79,2020-11-01,2020-11-01,7.4
